科目代號,永續課程
070358001,4
070360001,3
070368001,5
070375001,2
070387001,4
070392001,3
070393001,1
070394001,1
070394011,1
070394021,4
070395001,1
070395011,1
070400002,4
070403001,3
070404001,3
070405001,3
070407001,3
070408001,3
070409001,5
070410001,3
070411001,3
070412001,2
070413001,4
070414001,3
070415001,2
070416001,1
070417001,1
070418001,1
070419001,2
070420001,1
070942001,1
070943001,2
080002001,3
080003001,2
088100011,1
088100021,3
088200011,1
088200021,3
088300011,1
088300021,3
088400011,1
088400021,3
088500021,1
088500041,0
088501011,1
088502001,3
088503001,3
089022011,1
089022021,3
090014011,4
090020001,4
090025001,4
090033001,5
090043001,2
090044001,3
090060001,4
090060011,3
090060021,2
090066001,5
090088001,3
090101001,1
090104001,4
090106001,4
090108001,2
090109001,2
090111001,5
090112001,2
090114001,2
090115001,2
090118001,1
090119001,4
090120001,5
090122001,3
090123001,3
100714001,3
100722001,1
100723001,3
100724001,4
100802001,2
100823001,1
100826001,1
100837001,1
101005012,2
101005022,3
101008002,3
101008012,1
101015001,1
101018001,3
101019001,2
101033001,2
101033011,3
101034001,2
101040001,3
101052001,2
101061001,4
101065011,3
101065021,4
101066001,1
101067011,2
101067021,1
101069001,1
101069011,1
101070001,3
101076001,4
101782001,5
101784001,3
101790001,3
101792001,3
101802001,3
101841001,3
101871001,5
102005001,5
102007001,5
102023001,1
102091001,3
102093001,3
102099001,2
102112001,2
102114001,3
102116001,3
102119001,4
102120001,4
102122001,2
102132001,2
102660001,2
102672001,4
102682001,1
102790001,2
102791001,1
102793001,4
102799001,3
102808001,3
102810001,4
102811001,4
102819001,5
102821001,2
102825001,4
102828001,3
102934001,3
103027001,3
103089001,3
103112001,1
103168001,3
103171001,1
103192001,1
103200001,2
103224001,3
103239001,3
103240001,1
103260001,4
103262001,1
103265001,1
103270001,2
103271001,3
103410001,2
103416001,1
103M02001,1
104003001,2
104049001,2
104068121,2
104077001,2
104082001,1
104101111,1
104158111,1
104187111,4
104215001,2
104216001,4
104217001,1
104218001,1
104636131,1
104642001,1
104733001,3
104734001,1
109003011,2
109004001,4
109006011,1
109010001,3
109016001,1
109029001,3
109031001,3
109033001,2
109036001,4
109037001,4
109039001,2
109050011,3
109856001,3
109857001,4
109889001,4
109942001,2
151507001,5
151508001,2
151509001,4
151510001,5
151511001,3
151512001,2
151513001,4
151615001,3
151695001,4
151700001,3
151720001,3
151787001,1
151869011,2
151876001,2
152037001,5
152550001,1
152554001,5
152557001,5
152559001,5
152567001,5
152573001,5
152577001,5
152578001,1
152587001,2
152592001,1
152606001,1
152637001,5
152734001,4
152790001,3
152802001,4
152851001,2
152866001,4
153011001,1
153470001,3
153471001,1
153472001,3
153473001,3
153474001,2
153475001,1
153476001,3
153486001,2
153497001,3
153501001,1
153530001,2
153551001,3
153756001,1
153M02001,1
154238001,4
154239001,1
154240001,1
154241001,3
154242001,1
154243001,1
154244001,3
154245001,1
154246001,1
154247001,1
154248001,1
154305001,2
154619001,1
155001001,3
155032001,4
155785001,3
155786001,4
155787001,4
155798001,2
155801001,4
155814001,2
155815001,3
155816001,3
155823001,2
155827001,4
155833001,4
155895001,2
155M06001,2
156016001,4
156045001,1
156052001,1
156636001,4
156637001,4
156638001,3
156639001,2
156640001,3
156641001,3
156642001,1
156643001,3
156676001,3
156719001,1
157823001,5
157824001,4
157828001,3
157832001,5
157862001,1
157864001,3
157865001,3
158007001,1
158707001,3
158708001,2
158709001,3
158710001,1
158711001,3
158712001,1
158713001,3
158714001,1
158715001,1
158718001,1
158727001,4
