科目代號,永續課程
402007001,1
402007011,1
402058001,2
402071001,4
402072001,3
402078001,1
402080001,2
402086001,3
402088001,2
402089001,1
402091001,1
402092001,3
402102001,1
402106001,1
403057001,1
403061001,3
403062001,3
403062011,1
403069001,3
403073001,3
403074001,1
403075001,1
403077001,1
403081001,2
403100001,4
403104001,4
405001001,2
405001011,1
405001021,4
405001031,1
405003001,2
405003011,1
405003021,3
405004001,3
405004011,3
405004021,2
405008011,3
405008021,3
405008031,3
405867001,1
405873001,3
405876001,2
405882001,1
405884001,3
405885001,2
405888001,3
405892001,2
405899001,2
405900001,1
405915001,2
405926001,2
405931001,2
405932001,1
405939001,1
405940001,2
405944001,2
405948001,1
405948011,1
461002001,1
461003001,3
461849001,3
461851001,0
461855001,2
461858001,1
461876001,4
461888001,4
462001001,2
462005001,1
462889001,1
462893001,1
462906001,1
462M01001,1
463002001,2
463003001,1
463875001,2
463877001,1
463880001,3
463888001,1
463893001,2
463931001,3
463936001,3
463938001,2
463939001,1
464001001,1
464775001,1
464780001,1
464786001,1
464788001,2
464794001,4
464800001,4
464803001,1
464824001,4
464857001,2
464861011,1
464861031,3
464872001,2
464874001,4
464893001,2
464906001,5
464918001,3
464924001,2
464925001,2
464930001,0
464932001,2
464934001,1
464935001,1
464937001,3
465011001,2
465015001,2
465017001,4
465018001,0
465019001,1
465020001,4
465947001,2
465949001,2
501009001,0
501009011,1
501010011,5
501041131,1
501060001,1
501061001,4
501061011,1
501063001,1
501064001,1
501069111,3
501069131,1
501780011,1
501833001,1
501841001,1
501874001,1
502045001,1
502101001,1
502101011,3
502108001,1
502111001,5
502114001,3
502114011,1
502115001,3
502115011,3
502124001,4
502125001,3
502126001,3
502132001,5
502132011,5
502132021,5
502817001,0
502857001,3
502942001,5
504021001,4
504021011,1
504024001,4
504024011,1
504031001,1
504031011,1
504032001,1
504032011,1
504049001,1
504059011,2
504061011,1
504064011,1
504087001,1
504095001,0
504096001,1
504096011,1
504776001,3
504777001,1
504778001,1
504779001,1
504820001,1
504821001,5
504822001,1
504831001,1
504834001,1
504838001,1
504839001,1
504890001,1
504901001,3
504902001,5
504905001,1
504910001,0
506005001,1
506006001,3
506006011,4
506006021,3
506007001,2
506008001,3
506009001,2
506009011,4
506009021,4
506010001,3
506010011,4
506010021,4
506011001,2
506011011,3
506011021,4
506017001,1
506018001,3
506019001,4
506073001,2
506074001,3
506075001,2
506824001,3
506825001,1
506831001,1
506832001,3
506839001,2
506845001,1
506853001,3
506862001,4
506863001,1
507026001,1
507028001,3
507046001,1
507046011,3
507047001,3
507047011,1
507048001,1
507048011,3
507049011,3
507050001,3
507050011,3
507052001,1
507811001,1
507817001,3
507841001,3
507845001,1
507875001,3
507914001,4
507916001,4
508049001,5
508052001,1
508055001,1
508059001,1
508079001,1
508079011,1
508080001,2
508080011,2
508081001,1
508082001,1
508083001,1
508084001,1
508085001,2
508791001,1
508792001,1
508793001,1
508796001,1
508802001,3
508807001,1
508814001,0
508862001,1
508877001,5
508918001,1
509004001,1
509005001,1
509006001,3
509008001,2
509009001,3
509014001,1
509015001,1
509016001,3
509018001,1
509019001,5
509021001,3
509022001,3
509023001,0
509024001,1
509025001,1
509026001,2
509031001,1
509032001,1
509033001,2
509041001,1
509042001,2
509043001,1
509044001,3
509045001,3
509047001,4
509048001,1
509049001,2
509056001,1
509057001,3
509058001,2
509059001,1
509060001,2
509061001,5
509062001,1
509063001,3
509064001,3
509065001,1
509066001,2
509067001,5
509886001,4
509894001,4
509896001,2
509901001,1
509916001,2
509918001,3
509936001,2
510001001,3
510002001,2
510006001,3
510007001,4
510016001,3
510019001,5
510026001,2
510029001,5
510038001,1
510046001,4
510048001,4
510050001,4
510052001,3
510053001,2
510054001,3
510055001,5
510056001,1
510057001,1
510058001,1
510059001,1
510061001,5
510063001,1
510067001,3
510081001,4
510082001,1
510084001,3
510874001,4
510880001,3
510881001,1
510883001,5
510892001,3
510905001,4
510932001,3
551012001,1
551732001,2
551742001,1
551752001,1
551758001,5
554859001,3
555004001,1
555005001,3
555729001,2
555731001,5
555760001,2
555791001,5
555807001,1
555808001,5
556746001,1
556747001,2
556749001,3
556759001,4
556774001,3
556785001,1
556789001,4
556793001,1
556901001,3
557896001,3
557898001,4
557900001,2
560006001,5
560008001,1
560876001,1
560890001,3
560895001,3
560902001,4
560918001,3
599772001,1
599773001,0
599776001,3
599777001,1
599780001,1
599791001,1
599793001,2
599793011,3
599793021,3
599793031,3
599794011,3
599794021,3
599795001,1
599795011,1
599795021,1
599796001,3
599796011,4
599796021,1
599889001,3
599893001,4
599893011,4
599895001,4
599901001,2
599901011,2
599901021,2
599903001,2
599917001,1
599921001,2
599935001,3
599940001,2
599941001,1
599942001,2
599943001,3
599943011,3
599943021,3
599943031,3
599943041,3
599944001,1
599944011,1
599944021,1
599944031,1
599944041,1
599945001,5
599945011,5
599945021,5
599945031,5
599945041,5
599946001,4
599946011,4
599946021,4
599946031,3
601005001,1
601005011,2
601017001,3
601025021,1
601084001,5
601086001,2
601087001,4
601087011,4
601105001,1
601105011,3
601131001,2
601131011,2
601131021,1
601137001,1
601140001,2
601140011,4
601140021,3
601144001,2
601144011,4
601154001,1
601154011,2
601154021,2
601155011,2
601159001,5
601159011,3
601159021,3
601312001,4
601313001,2
601314001,2
601337001,1
601339001,3
601341001,5
601343001,4
601344001,3
601365001,4
601372001,4
601387001,4
601388001,4
601390001,3
601429001,5
601451001,4
601460001,3
601462001,1
601464001,4
601472001,3
601506001,1
601542001,4
601551001,2
601559001,4
601582001,3
601593001,4
601596001,1
601616001,3
601630001,5
601643001,2
601662011,1
601662021,2
601666001,4
601682001,3
601690001,4
601709001,1
601778001,1
601904001,1
601950001,2
651044001,3
651097001,2
651099001,3
651167001,2
651174001,4
651219001,1
651242001,4
651310001,1
651313001,2
651343001,3
651353001,3
651357001,1
651383001,2
651389001,3
651406001,1
651437001,0
651450001,0
651458001,2
651547001,4
651696001,4
651706001,5
651715001,1
651717001,4
651731001,3
651923001,4
651A14001,4
651A18001,1
651A24001,4
651A59001,5
651B59001,5
651B78001,1
651B79001,3
651B80001,4
651B81001,3
651B86001,1
651B87001,1
651B90001,3
651B91001,1
652098001,1
652120001,3
652122001,2
652137001,3
652144001,1
652155001,1
652160001,5
652167001,1
652167011,3
652168001,3
652173001,2
652174001,4
652174011,4
652175001,4
652178001,5
652192001,1
652197001,1
652200001,4
652208001,4
652209001,1
652830001,0
652831001,5
652832001,4
652833001,1
652834001,1
652835001,1
652836001,3
652837001,1
652838001,4
652871001,2
652885001,1
652892001,5
652905001,3
701001001,1
701002001,3
701002011,1
701003001,2
701006001,2
701008001,1
701010001,2
701012001,4
701025001,2
701781001,5
701788001,1
701863001,1
701864001,0
701866001,1
701868001,2
701872001,1
701886001,2
701909001,2
701912001,1
701942001,1
702001001,1
702002001,1
702004001,1
702005001,1
702006001,3
702007001,1
702011001,1
702012001,1
702760001,2
702768001,3
702769001,1
702817001,3
702868001,3
702872001,1
702894001,4
702907001,4
702914001,2
702928001,2
702931001,1
703007001,1
703008001,1
703016001,2
703019001,1
703027001,2
703055001,3
703060001,2
703815001,1
703819001,2
703857001,2
703869001,1
751007001,5
751013001,1
751024001,1
751025001,1
751025011,1
751028001,1
751032001,2
751757001,1
751769001,4
751796001,1
751797001,4
751798001,0
751799001,1
751835001,1
751873001,1
751886001,2
752001001,1
752007001,2
752008001,2
752009001,2
752010001,2
752012001,2
752582001,1
752583001,2
752586001,3
752587001,3
752589001,3
752591001,1
752617001,4
752619001,2
752634001,1
752667001,2
752683001,3
752696001,4
752699001,3
752865001,1
752919001,1
752927001,1
753012001,1
753810001,2
753826001,1
753836001,1
753837001,1
753845001,1
753846001,3
753923001,3
754003001,3
754008001,3
754009001,2
754010001,2
754921001,1
754922001,3
754925001,3
754944001,3
755003001,1
755005001,1
755006001,1
755012001,1
755939001,1
755946001,1
781029001,3
781035001,1
781041001,1
781043001,1
781920001,1
782001001,1
782003001,1
782004001,2
782018001,1
782026001,1
782032001,1
782034001,1
782036001,1
783001001,3
783004001,3
783006001,2
783010001,3
791001001,2
791002001,2
791004001,2
791007001,3
791009001,1
791010001,2
791011001,3
791013001,1
791023001,3
791024001,4
791031001,1
861002011,4
861815001,3
861816001,4
861817001,4
861837001,3
861838001,4
861844001,2
861846001,4
861858001,3
862001001,2
862008001,2
862888001,4
862919001,4
863001001,4
863007001,1
900001001,5
900002001,4
900031001,5
900922001,3
900923001,3
911001001,4
911002001,3
911926001,3
911934001,3
911935005,4
911946005,4
911948001,4
912812001,0
912832005,2
913001001,2
913930001,4
913932001,3
913938001,2
913940001,5
913950001,2
921025011,2
921026001,2
921033011,5
921033021,3
921034001,2
921039001,3
921039011,3
921039021,2
921039031,4
921040001,2
921041001,3
921041011,3
921041021,3
921800001,4
921801001,3
921803001,3
921811001,1
921813001,3
921814001,4
921815001,2
921815011,5
921816001,3
921817001,2
922006001,5
922015001,1
922026001,4
922030001,1
922911001,5
922913001,4
922928001,5
922931001,2
922933001,4
923876001,3
923879001,2
923882001,4
923893001,0
923900001,1
923908001,5
923930001,0
923933001,1
923937001,3
923946001,4
923949001,4
926026001,2
926814001,5
926815001,4
926824001,3
926827001,5
926837001,5
926847001,0
926848001,5
926849001,5
926850001,4
926852001,5
926859001,3
926864001,5
926893001,2
926949001,3
933001001,1
933005001,5
933011001,1
933016001,2
933018001,5
933855001,0
933884001,3
933887001,0
933910001,0
933920001,3
933943001,4
934019001,3
941001001,1
941002001,3
941012001,1
941900001,1
941902001,5
941904001,4
941909001,2
951007001,1
951929001,1
961006001,3
961012001,2
961013001,1
961015001,2
961042001,4
961054001,3
961056001,4
961072005,2
961086001,3
961116001,2
961149005,4
961169005,1
961195001,1
961197005,4
961220001,4
961221001,1
961222005,1
961223001,4
961224005,4
961225005,3
961227001,4
961229001,1
971001001,1
971002001,1
971005001,1
971864001,2
971885001,3
971889001,2
981008001,1
981012001,4
981013001,3
981898001,4
981907001,2
981920001,4
981929001,2
981939001,2
981946001,1
NU1001001,3
NU1004001,2
NU1005001,3
NU1011001,2
NU1012001,1
NU1013001,1
NU1014001,1
NU1015001,1
Z23919001,4
Z23920001,1
Z23941001,5
ZC0937001,1
ZC0938001,4
ZC0942001,2
ZC0943001,3
ZC0M01001,1
ZC0M02001,2
ZC0M03001,1
ZM1002001,5
ZM1007001,4
ZM1008001,1
ZM1883001,4
ZM1884001,3
ZM1885001,4
ZM1886001,2
ZM1887001,4
ZM1888001,5
ZM1889001,5
ZM1890001,1
ZM1891001,0
ZM1903001,5
ZM1906001,2
ZM1907001,3
ZM1908001,1
ZM1912001,1
ZM1924001,4
ZM1931001,4
ZM1934001,4
ZM1947001,3
ZU1001001,4
ZU1007001,4
ZU1011001,5
ZU1014001,2
ZU1024001,3
ZU1025001,5
ZU1026001,2
ZU1037001,3
ZU1040001,5
ZU1041001,4
ZU1042001,5
ZU1856001,1
ZU1857001,5
ZU1858001,5
ZU1859001,4
ZU1860001,2
ZU1861001,2
ZU1862001,5
ZU1868001,5
ZU1872001,3
ZU1873001,5
ZU1878001,4
ZU1888001,2
ZU1889001,1
ZU1896001,5
ZU1908001,5
ZU1912001,5
ZU1921001,3
