科目代號,永續課程
000211011,1
000216011,3
000217011,3
000217021,2
000217031,3
000218001,3
000218011,3
000218021,3
000218041,3
000219021,3
000219041,3
000219081,0
000219111,1
000219121,1
000219511,2
000219521,4
000219531,1
000219541,3
000219561,3
000221001,3
000221011,3
000226011,3
000227001,5
000227011,1
000228021,3
000229001,4
000314011,3
000314021,1
000314031,3
000314061,4
000314071,1
000314081,1
000314091,4
000314101,4
000314111,1
000314121,3
000314131,3
000314141,3
000314151,3
000323011,3
000323031,2
000335011,3
000347041,3
000347061,1
000347071,1
000347081,3
000347091,1
000347101,1
000347111,3
000347121,3
000348001,1
000351021,4
000351061,4
000351071,4
000357011,1
000357031,1
000358021,3
000358031,2
000359011,1
000359021,2
000359031,2
000359041,1
000359081,1
000360101,1
000361011,5
000361021,5
000603001,3
000603011,4
000603021,2
000604001,4
000604011,2
000605001,4
000711001,2
000711011,3
000711021,3
000712001,1
000713011,0
000714001,2
002008011,1
002009001,1
002012011,3
002012021,3
002021011,3
002021021,3
002035001,3
002043011,3
002051001,1
002062011,3
002062031,3
002062041,1
002065021,4
002071011,3
002071021,3
002076011,5
002097011,1
002097021,1
002097031,1
002112001,1
002112011,1
002113011,3
002115001,1
002151001,1
002301001,1
002301021,5
002301031,5
002301041,5
002303011,4
002303021,4
002303041,5
002303061,5
002303071,5
002303081,5
002305011,3
002305021,5
002305031,3
002311011,1
002311021,1
002311031,1
002311041,1
002312001,1
002316001,1
002316011,1
002325011,1
002327011,1
002328001,1
002329001,3
002335001,5
002335011,4
002335021,4
002337001,2
002337011,4
002338001,5
002339001,1
002339011,1
002339031,1
002339041,1
002340011,5
002340021,1
002341001,1
002342001,1
002343001,1
002343011,1
002346001,3
002347001,4
002347021,4
002348001,1
002348011,1
002350001,2
002350011,2
002355001,2
002361011,3
002361021,3
002362001,1
002362011,1
002363001,1
002366001,3
002366011,3
002366021,1
002366041,4
002366071,1
002367001,3
002368001,3
002368011,3
002368021,3
002369001,1
002373001,1
002373011,1
002374001,1
002374011,1
002377001,3
002378001,1
002380001,2
002380011,2
002380021,2
002381001,5
002381011,5
002382001,1
002383001,1
002384001,5
002387001,5
002387011,3
002387021,3
002388001,1
003826101,4
003827101,4
003828101,5
003829101,3
003830101,2
003830111,1
010029001,1
010030001,3
010032001,3
010056001,2
010056011,3
010056021,3
010056031,1
010058001,2
010058011,3
010058021,1
010059001,2
010059011,2
010059021,1
010059041,4
010060001,1
010060011,4
010060021,1
010060031,4
010060041,2
010091001,5
010100001,2
010102031,2
010103011,2
010103031,2
010103041,1
010103061,4
010103071,2
010103081,3
010104011,2
010104031,3
010105011,1
010105041,3
010105051,1
010105071,2
010107031,4
010107041,3
010107051,3
010107061,3
010113001,4
010113011,3
010117001,4
010122001,2
010122011,2
010122031,1
010123001,1
010123011,2
010125001,1
010125021,1
010919001,3
010922001,1
010923001,2
010924001,1
010928001,4
031004051,5
031004081,2
031004101,5
031004111,2
031008021,1
031008041,4
031009021,0
031012011,3
031013031,3
031014171,3
031017111,4
031017141,3
031023001,3
031023011,5
031023021,5
031026001,5
031031011,1
031031021,2
031031031,3
031226001,3
032001011,1
032001021,2
032001031,1
032001041,1
032001051,1
032001061,1
032001071,1
032001081,1
032001091,1
032001201,1
032001211,1
032001221,2
032001231,1
032001241,1
032001251,1
032001261,1
032001271,1
032001281,1
032001291,1
032001301,1
032001311,1
032001401,1
032001411,2
032001421,1
032001431,1
032001441,1
032001451,1
032001461,1
032001471,1
032001481,1
032001491,1
032001501,1
032001511,1
032001601,1
032001611,2
032001621,1
032001631,1
032001641,1
032001651,1
032001661,1
032001671,2
032001681,1
032001691,1
032001701,1
032001711,1
032001801,1
032001811,1
032001821,1
032001831,1
032001841,1
032001881,1
032001901,1
032001911,1
032001921,1
032001931,1
032001941,1
032001951,1
041089001,5
041097001,4
041099021,5
041100031,3
041100041,1
041123011,3
041176001,5
041181001,3
041191001,2
041193001,1
041194001,0
041196001,0
041198001,2
041201001,1
041203001,3
041212001,1
041213001,3
042026001,3
042051001,2
042053001,2
042078001,4
042089001,4
042096001,3
042103001,1
042112011,1
042116011,2
042116041,3
042121001,4
042126001,5
042137001,3
042142001,4
042142011,4
042143001,4
042156031,2
042181011,2
042183001,5
042200001,3
042203001,3
042205001,4
042209001,3
042217001,5
043010001,3
043016001,4
043016011,3
043021001,3
043024001,2
043025001,3
043025011,3
043031001,1
043033001,3
043043001,4
043045001,4
044008001,1
044014001,1
044022001,3
044049001,4
044104001,2
044114001,4
044117001,2
044118001,5
044121001,4
044M01001,3
045019011,2
045040001,0
045052001,5
045063001,3
046001001,2
046001011,2
046001021,1
046001031,1
046001141,2
046005001,1
046006001,1
046006011,2
046008001,3
046008011,3
046008021,3
070100001,1
070153001,3
070171011,3
070171021,3
070172011,3
070172021,3
070173011,1
070176001,3
070196001,3
070216001,3
070260001,2
070281001,4
070282001,3
070283001,2
070296001,5
070300001,4
070303001,3
070305001,5
070313001,4
070323001,3
070325001,5
070327001,3
070335001,4
070342001,1
070349001,3
070352001,1
070365001,4
070367001,4
070373001,1
070379001,1
070380001,5
070382001,1
070383001,4
070393001,1
070393011,3
070394001,1
070394011,1
070394021,4
070395001,3
070395011,3
070399001,4
070400001,4
070401001,1
070402001,3
070406001,1
070421001,0
070422001,2
070423001,0
070424001,0
070425001,0
070426001,0
070427001,0
070428001,0
070429001,0
070430001,2
070432001,4
070434001,4
070436001,5
088110021,0
088110041,3
088110051,3
088110061,1
088210021,3
088210041,2
088210051,3
088210061,1
088310021,0
088310041,2
088310051,3
088310061,1
088410021,0
088410041,2
088410051,3
088410061,1
088500011,1
088500021,4
088500041,1
088500051,1
088501011,1
088501031,2
088501041,1
088501051,1
088503001,0
088505001,1
088508001,1
090014011,2
090019001,1
090026001,4
090044001,3
090060001,5
090060011,3
090060021,4
090088001,3
090101001,1
090104001,3
090106001,3
090108011,2
090109001,3
090111001,5
090112001,2
090116001,5
090118001,1
090121001,5
090125001,2
090126001,4
100713001,3
100715001,5
100716001,1
100725001,3
100727001,4
100836001,1
101001001,2
101001011,1
101002001,4
101003011,1
101005011,3
101005021,2
101035001,4
101072001,3
101695001,3
101787001,3
101826001,1
101827001,3
101852001,4
102003001,3
102011001,1
102012001,3
102013001,2
102103001,5
102109001,2
102113001,2
102115001,3
102117001,3
102119001,5
102120001,5
102121001,2
102129001,3
102130001,1
102131001,4
102133001,3
102786001,1
102787001,1
102788001,3
102789001,2
102792001,3
102795001,3
102808001,3
102816001,3
102853001,3
102920001,1
103046001,3
103088001,1
103193001,1
103199001,1
103230001,4
103232001,1
103240001,1
103261001,3
103264001,1
103272001,1
103273001,4
103274001,1
103275001,1
103276001,1
103277001,1
103M01001,1
104001001,3
104002001,1
104005001,1
104006001,4
104007001,4
104011011,1
104119121,3
104220001,2
104221001,1
104223001,5
104731001,4
104761001,3
109002011,1
109003011,2
109006011,1
109007001,1
109016001,1
109028001,4
109030001,2
109032001,3
109034001,3
109036001,5
109037001,5
109038001,2
109049001,1
109050011,4
109052001,4
109053001,1
109863001,2
109942001,2
109950001,5
151497001,3
151501001,0
151504001,2
151505001,2
151506001,2
151889001,2
152039001,4
152043001,3
152047001,2
152048001,4
152049001,3
152549001,3
152552001,5
152569001,3
152580001,4
152582001,3
152588001,1
152603001,5
152658001,4
152768001,4
152808001,1
153012001,1
153466001,0
153467001,3
153468001,3
153469001,1
153522001,4
153527001,1
153685001,2
153788001,2
153M01001,1
154009001,1
154226001,3
154227001,4
154228001,5
154229001,3
154230001,4
154231001,1
154233001,3
154234001,1
154235001,4
154236001,2
154237001,2
154239001,1
155033001,3
155784001,2
155787001,4
155789001,4
155790001,5
155792001,5
155793001,4
155800001,3
155805001,3
155807001,3
155809001,3
155810001,3
155817001,3
155820001,2
155837001,4
155903001,1
155912001,2
156635001,1
157016001,5
157820001,1
157821001,1
157822001,5
157825001,4
157827001,4
157829001,5
157885001,1
158706001,0
158716001,5
158722001,4
158724001,2
158730001,2
158734001,3
158762001,5
158788001,4
158793001,3
158902001,3
158932001,2
159001001,3
159002001,5
159813001,2
159817001,3
159878001,2
159913001,4
160712001,2
160713001,1
160797001,1
161003001,1
161720001,2
161721001,1
161797001,3
171001001,2
171002001,1
171911001,4
171918001,5
171929001,4
172001001,3
172002001,3
172005001,2
172007001,1
172879001,3
172880001,5
172883001,3
172923001,3
202002001,1
202100001,1
202103001,2
202104001,3
202128001,3
202133001,1
202815001,4
202829001,5
202838001,3
202839001,3
202842001,2
203007001,4
203016001,1
203056001,4
203059001,1
203064001,5
203071001,1
203074001,1
203076001,2
203802001,3
203883001,2
203896001,5
203902001,3
203904001,2
203915001,5
203916001,2
203922001,5
203926001,4
204008011,3
204757001,4
204796001,3
204800001,2
204831001,5
204856001,4
204881001,2
205007001,2
205008001,5
205009001,1
205017001,2
205021001,1
205061001,1
205062001,3
205062011,1
205064001,2
205064011,3
205065001,1
205840001,4
205841001,1
205847001,4
205849001,5
205850001,3
205855001,5
205858001,3
205867001,3
205868001,3
205871001,3
205873001,3
205890001,2
205909001,4
205915001,3
206015011,2
206033001,5
206050001,0
206052001,1
206061001,5
206066001,2
206782001,5
206791001,2
207004001,3
207009001,5
207009021,5
207020001,1
207029001,4
207031001,3
207038001,5
207044001,5
207054001,4
207056001,3
207071001,4
207073001,1
207074001,5
207078001,3
207083001,4
207094001,2
207099001,1
207102001,1
207103001,3
207726001,1
207730001,4
207731001,5
207737001,4
207742001,3
207746001,2
207751001,3
207761001,3
207770001,1
207786001,5
207792001,1
207809001,1
207823001,5
207854001,2
207872001,4
207886001,4
207928001,4
207933001,4
207938001,3
207957001,4
207959001,5
208019011,1
208020001,3
208021001,3
208024001,0
208027001,4
208769001,3
209001001,4
209022001,4
209025001,4
209029001,2
209050001,1
209055001,3
209058001,1
209061001,4
209069001,2
209072001,2
209101001,1
209645001,3
209698001,3
209730001,5
209745001,3
209756001,5
252019001,1
252101001,1
252672001,1
252691001,3
252699001,3
252730001,3
252734001,2
252739001,1
252802001,4
252819001,3
252914001,2
252952001,2
253045011,1
253045021,2
253048001,2
253049001,1
253050001,4
253054001,4
253783001,3
253785001,3
253794001,3
253815001,4
253872001,1
253874001,1
253907001,4
254089001,3
254779001,3
255021001,2
255029001,3
255031011,2
255033011,2
255034001,2
255042001,3
255816001,1
255818001,4
255819001,1
255820001,3
255823001,4
255824001,3
255825001,3
255826001,3
255827001,5
255832001,5
255836001,1
255837001,2
255852001,3
255858001,2
255873001,4
255914001,4
256029001,1
256655001,2
256684001,0
256745001,3
256766001,2
256768001,2
257709001,0
257713001,3
257718001,1
257720001,3
257723001,4
257727001,3
257735001,5
257737001,5
257780001,2
257791001,5
257827001,3
258018001,1
258021001,1
258698001,4
258854001,1
258932001,5
259060001,1
259530001,0
259655001,3
259665001,4
259693001,3
260029001,1
260044011,1
260048001,2
260108001,3
260719001,3
260724001,2
260872001,4
261045001,3
261102001,5
261103001,5
261105001,3
261629001,2
261867001,5
261872001,1
261875001,4
261879001,4
261897001,3
261900001,4
261901001,4
261922001,4
261924001,5
261926001,1
262002001,4
262010001,1
262786001,5
262787001,4
262794001,4
262871001,2
262914001,4
263817001,3
263829001,4
265002001,2
265770001,2
265776001,3
265794001,5
265817001,4
265827001,0
265842001,4
265933001,2
266002001,4
266007001,1
266008001,2
266837001,2
266856001,4
266863001,3
266871001,3
266885001,4
266888001,3
266898001,4
266910001,4
266912001,1
266913001,2
266926001,3
266931001,2
266940001,5
266941001,3
267001001,2
267002001,1
267937001,5
267938001,5
267944001,1
300005021,5
300011001,5
300011011,5
300011021,5
300726001,1
300727001,5
300728001,5
300734001,3
300743001,2
300746001,5
300746011,1
300746021,1
300746031,5
300748001,5
300748011,5
300748021,1
300748031,1
300748041,5
300748051,5
300750001,1
300750011,2
300750021,1
300750031,2
300750041,1
300750051,1
300750061,1
300750071,1
300770001,2
300784001,3
300785001,4
300817001,1
300878001,1
300906011,1
300907001,1
300907021,2
300933001,2
301033001,1
301035001,2
301040001,3
301046001,1
301046011,1
301048001,2
301049001,2
301778001,3
301779001,1
301780001,1
301789001,1
301813001,2
301818001,1
301840001,5
301867001,1
301935001,5
302018001,4
302032011,3
302034001,1
302044001,5
302045001,5
302768001,5
302784001,5
302791001,2
302833011,1
303013011,1
303022001,1
303022011,2
303043001,2
303043011,2
303043021,2
303801001,5
303804001,5
303818001,2
303830001,1
303830011,1
304004001,1
304021011,3
304022011,4
304030001,1
304833001,5
305051001,1
305052001,3
305665001,1
305670001,3
305677001,2
305678001,3
305688001,3
305776001,3
305928001,1
306005001,4
306005011,4
306007001,1
306007011,1
306009001,2
306009011,2
306013001,1
306013011,1
306016003,3
306016011,3
306016021,1
306016023,1
306016031,4
306016033,4
306016041,1
306016043,1
306024001,2
306715001,3
306717001,1
306738001,3
307861001,5
307917001,2
308001001,4
308002001,3
308003011,3
308016001,3
308020001,5
308041001,3
308043001,4
308848001,5
308855001,5
308866001,5
308869001,3
308882001,3
308951011,3
351026011,4
351027011,1
351028011,2
351034001,1
351713001,3
351721001,4
351733001,1
351748001,5
351779001,2
351806001,3
351829001,5
351948001,2
351950001,2
352015001,1
352026001,2
352034001,1
352052001,1
352059001,4
352062001,4
352063001,4
352066001,3
352717001,4
352718001,5
352736001,3
352738001,3
352753001,2
352772001,4
352788001,1
352846001,4
353008001,2
353015001,3
353077001,1
353078001,2
353744001,5
353747001,0
354001001,0
354016001,1
354714001,3
354715001,1
354719001,1
354745001,2
354749001,1
354770001,2
354812001,5
355104001,1
355492001,3
355493001,1
355517001,3
355519001,3
355528001,2
355583001,2
355586001,3
355674001,2
355730001,1
356003001,1
356005001,3
356014001,1
356015001,3
356104001,1
356338001,1
356339001,3
356353001,3
356354001,3
356355001,1
356357001,4
356366001,5
356372001,3
356392001,3
356814001,5
357013001,2
357028001,3
357035001,3
357042001,2
357871001,3
357889001,5
357907001,4
358001001,4
358003001,4
358022001,2
358031001,4
358040001,4
358052001,5
358066001,4
358067001,4
358074001,2
358075001,3
358076001,4
358077001,4
358078001,4
358767001,4
358768001,2
358769001,4
358776001,5
358778001,2
358781001,4
358805001,5
358846001,2
358853001,3
358904011,3
358914001,4
363001001,1
363002001,3
363002011,2
363004001,2
363004011,2
363005001,1
363005011,1
363006001,2
363006011,4
363006021,3
363008001,4
363008011,2
363008021,2
363010001,3
363010011,2
363015001,1
363016001,5
363019001,2
363022001,3
363022011,2
363022021,3
363855001,1
363860001,3
363874001,1
363884001,3
363887001,3
363909001,1
363931001,2
363932001,2
363933001,2
363949001,3
363950001,1
364005001,1
364033001,2
364053001,1
364065001,2
364085001,2
364086001,1
364088001,4
364104001,1
364753001,3
364760001,5
364764001,2
364765001,2
364786001,3
364818001,1
364930001,1
364939001,1
400854001,2
400855001,3
400857001,5
400861001,1
400862001,3
400863001,2
400866001,1
400875001,3
400876001,1
400889001,4
400901001,4
400909001,2
400910001,2
400912001,3
401041011,4
401085001,3
401113001,4
401116001,1
401117001,4
401120001,3
401131001,2
401137001,5
401138001,4
401140001,1
401145001,4
401146001,4
401148001,1
